2,pp,0.34811083515844354,2023-12-23 00:06:35
2,pp,0.3802143602764024,2023-12-23 00:06:40
1,,0.4382065576706463,2023-12-23 00:06:40
1,pk,0.49178313250862965,2023-12-23 00:06:41
2,pp,0.4074288702139479,2023-12-23 00:06:43
1,pk,0.4027479869152709,2023-12-23 00:06:44
2,pp,0.36856581075698086,2023-12-23 00:06:46
2,pp,0.4598305079444784,2023-12-23 00:06:50
1,,0.45165656111317115,2023-12-23 00:06:50
1,pk,0.37840625365740105,2023-12-23 00:13:15
1,,0.41883340807865194,2023-12-23 00:13:30
2,pp,0.41570944215246963,2023-12-23 00:13:31
1,pk,0.4294184024583691,2023-12-23 00:13:31
2,pp,0.3539720029093763,2023-12-23 00:13:34
2,pp,0.41586710865039606,2023-12-23 00:13:37
1,,0.35925129621736995,2023-12-23 00:13:37
2,pp,0.37958832940096526,2023-12-23 00:13:40
2,pp,0.3237955747543386,2023-12-23 00:13:43
2,pp,0.2908393625559653,2023-12-23 00:13:46
2,pp,0.3423782304017439,2023-12-23 00:13:49
2,pp,0.31051910613039135,2023-12-23 00:13:52
2,pp,0.3290087152228706,2023-12-23 00:17:10
2,pp,0.300208920609967,2023-12-23 00:17:13
1,,0.39578948397872016,2023-12-23 00:17:55
2,pp,0.3713911056657174,2023-12-23 00:17:55
2,pp,0.3193741148012591,2023-12-23 00:17:58
1,pk,0.42757554396622616,2023-12-23 00:17:59
2,pp,0.35057951138058596,2023-12-23 00:18:01
1,pk,0.37742294167071905,2023-12-23 00:18:03
2,pp,0.37369382759366426,2023-12-23 00:18:04
1,,0.39342928357460905,2023-12-23 00:18:05
2,pp,0.4050190827081587,2023-12-23 00:18:08
1,,0.34178464969985417,2023-12-23 00:18:10
2,pp,0.34962040063064176,2023-12-23 00:18:11
2,pp,0.3324272523689133,2023-12-23 00:18:14
1,,0.34197466761905637,2023-12-23 00:18:16
2,pp,0.2993486244763554,2023-12-23 00:18:17
1,,0.41263044949846067,2023-12-23 00:18:20
2,pp,0.39399551459840965,2023-12-23 00:18:41
1,pk,0.34815167929579854,2023-12-23 00:18:42
2,pp,0.3137501979657229,2023-12-23 00:18:44
